gt_team,opponent,type,player,player_run_grade,opp_lb_grade,opp_lb_name,opp_lb_snaps,delta
GA TECH,PITTSBURGH,vs_lb_rank_2,Haynes King,73.8,77.9,Kyle Louis,395.0,-4.1
GA TECH,PITTSBURGH,vs_lb_rank_3,Haynes King,73.8,90.2,Rasheem Biles,388.0,-16.4
GA TECH,PITTSBURGH,vs_lb_rank_4,Haynes King,73.8,90.5,Cameron Lindsey,106.0,-16.7
GA TECH,PITTSBURGH,vs_lb_rank_5,Haynes King,73.8,77.9,Nick Lapi,97.0,-4.1
GA TECH,PITTSBURGH,vs_defense_avg,Jamal Haynes,73.1,86.31,,,-13.21
GA TECH,PITTSBURGH,vs_lb_rank_1,Jamal Haynes,73.1,91.1,Braylan Lovelace,455.0,-18.0
GA TECH,PITTSBURGH,vs_lb_rank_2,Jamal Haynes,73.1,77.9,Kyle Louis,395.0,-4.8
GA TECH,PITTSBURGH,vs_lb_rank_3,Jamal Haynes,73.1,90.2,Rasheem Biles,388.0,-17.1
GA TECH,PITTSBURGH,vs_lb_rank_4,Jamal Haynes,73.1,90.5,Cameron Lindsey,106.0,-17.4
GA TECH,PITTSBURGH,vs_lb_rank_5,Jamal Haynes,73.1,77.9,Nick Lapi,97.0,-4.8
GA TECH,PITTSBURGH,vs_defense_avg,Malachi Hosley,82.3,86.31,,,-4.01
GA TECH,PITTSBURGH,vs_lb_rank_1,Malachi Hosley,82.3,91.1,Braylan Lovelace,455.0,-8.8
GA TECH,PITTSBURGH,vs_lb_rank_2,Malachi Hosley,82.3,77.9,Kyle Louis,395.0,4.4
GA TECH,PITTSBURGH,vs_lb_rank_3,Malachi Hosley,82.3,90.2,Rasheem Biles,388.0,-7.9
GA TECH,PITTSBURGH,vs_lb_rank_4,Malachi Hosley,82.3,90.5,Cameron Lindsey,106.0,-8.2
GA TECH,PITTSBURGH,vs_lb_rank_5,Malachi Hosley,82.3,77.9,Nick Lapi,97.0,4.4
GA TECH,SYRACUSE,vs_defense_avg,Haynes King,73.8,68.39,,,5.41
GA TECH,SYRACUSE,vs_lb_rank_1,Haynes King,73.8,69.4,Gary Bryant III,328.0,4.4
GA TECH,SYRACUSE,vs_lb_rank_2,Haynes King,73.8,84.3,Antoine Deslauriers,278.0,-10.5
GA TECH,SYRACUSE,vs_lb_rank_3,Haynes King,73.8,55.3,Anwar Sparrow,159.0,18.5
GA TECH,SYRACUSE,vs_lb_rank_4,Haynes King,73.8,51.2,Derek McDonald,90.0,22.6
GA TECH,SYRACUSE,vs_lb_rank_5,Haynes King,73.8,51.6,James Heard,67.0,22.2
GA TECH,SYRACUSE,vs_defense_avg,Jamal Haynes,73.1,68.39,,,4.71
GA TECH,SYRACUSE,vs_lb_rank_1,Jamal Haynes,73.1,69.4,Gary Bryant III,328.0,3.7
GA TECH,SYRACUSE,vs_lb_rank_2,Jamal Haynes,73.1,84.3,Antoine Deslauriers,278.0,-11.2
GA TECH,SYRACUSE,vs_lb_rank_3,Jamal Haynes,73.1,55.3,Anwar Sparrow,159.0,17.8
GA TECH,SYRACUSE,vs_lb_rank_4,Jamal Haynes,73.1,51.2,Derek McDonald,90.0,21.9
GA TECH,SYRACUSE,vs_lb_rank_5,Jamal Haynes,73.1,51.6,James Heard,67.0,21.5
GA TECH,SYRACUSE,vs_defense_avg,Malachi Hosley,82.3,68.39,,,13.91
GA TECH,SYRACUSE,vs_lb_rank_1,Malachi Hosley,82.3,69.4,Gary Bryant III,328.0,12.9
GA TECH,SYRACUSE,vs_lb_rank_2,Malachi Hosley,82.3,84.3,Antoine Deslauriers,278.0,-2.0
GA TECH,SYRACUSE,vs_lb_rank_3,Malachi Hosley,82.3,55.3,Anwar Sparrow,159.0,27.0
GA TECH,SYRACUSE,vs_lb_rank_4,Malachi Hosley,82.3,51.2,Derek McDonald,90.0,31.1
GA TECH,SYRACUSE,vs_lb_rank_5,Malachi Hosley,82.3,51.6,James Heard,67.0,30.7
