gt_team,opponent,type,gt_lb_name,gt_lb_position,gt_lb_run_defense,gt_lb_pass_defense,opp_te_pass_grade,opp_te_run_grade,opp_te_name,opp_te_targets,delta_run,delta_pass
GA TECH,NC STATE,vs_te_rank_1,Tah'j Butler,LB,60.1,78.7,74.5,74.5,Justin Joly,44.0,-14.4,4.2
GA TECH,NC STATE,vs_te_rank_2,Tah'j Butler,LB,60.1,78.7,66.1,66.1,Cody Hardy,2.0,-6.0,12.6
GA TECH,GEORGIA,vs_offense_avg,Kyle Efford,LB,68.0,64.5,65.63,65.63,,,2.37,-1.13
GA TECH,GEORGIA,vs_te_rank_1,Kyle Efford,LB,68.0,64.5,61.2,61.2,Lawson Luckie,17.0,6.8,3.3
GA TECH,GEORGIA,vs_te_rank_2,Kyle Efford,LB,68.0,64.5,63.6,63.6,Oscar Delp,13.0,4.4,0.9
GA TECH,GEORGIA,vs_te_rank_3,Kyle Efford,LB,68.0,64.5,86.0,86.0,Elyiss Williams,5.0,-18.0,-21.5
GA TECH,GEORGIA,vs_offense_avg,Melvin Jordan IV,LB,78.1,71.7,65.63,65.63,,,12.47,6.07
GA TECH,GEORGIA,vs_te_rank_1,Melvin Jordan IV,LB,78.1,71.7,61.2,61.2,Lawson Luckie,17.0,16.9,10.5
GA TECH,GEORGIA,vs_te_rank_2,Melvin Jordan IV,LB,78.1,71.7,63.6,63.6,Oscar Delp,13.0,14.5,8.1
GA TECH,GEORGIA,vs_te_rank_3,Melvin Jordan IV,LB,78.1,71.7,86.0,86.0,Elyiss Williams,5.0,-7.9,-14.3
GA TECH,GEORGIA,vs_offense_avg,E.J. Lightsey,LB,71.8,61.1,65.63,65.63,,,6.17,-4.53
GA TECH,GEORGIA,vs_te_rank_1,E.J. Lightsey,LB,71.8,61.1,61.2,61.2,Lawson Luckie,17.0,10.6,-0.1
GA TECH,GEORGIA,vs_te_rank_2,E.J. Lightsey,LB,71.8,61.1,63.6,63.6,Oscar Delp,13.0,8.2,-2.5
GA TECH,GEORGIA,vs_te_rank_3,E.J. Lightsey,LB,71.8,61.1,86.0,86.0,Elyiss Williams,5.0,-14.2,-24.9
GA TECH,GEORGIA,vs_offense_avg,Cayman Spaulding,LB,76.3,51.8,65.63,65.63,,,10.67,-13.83
GA TECH,GEORGIA,vs_te_rank_1,Cayman Spaulding,LB,76.3,51.8,61.2,61.2,Lawson Luckie,17.0,15.1,-9.4
GA TECH,GEORGIA,vs_te_rank_2,Cayman Spaulding,LB,76.3,51.8,63.6,63.6,Oscar Delp,13.0,12.7,-11.8
GA TECH,GEORGIA,vs_te_rank_3,Cayman Spaulding,LB,76.3,51.8,86.0,86.0,Elyiss Williams,5.0,-9.7,-34.2
GA TECH,GEORGIA,vs_offense_avg,Tah'j Butler,LB,60.1,78.7,65.63,65.63,,,-5.53,13.07
GA TECH,GEORGIA,vs_te_rank_1,Tah'j Butler,LB,60.1,78.7,61.2,61.2,Lawson Luckie,17.0,-1.1,17.5
GA TECH,GEORGIA,vs_te_rank_2,Tah'j Butler,LB,60.1,78.7,63.6,63.6,Oscar Delp,13.0,-3.5,15.1
GA TECH,GEORGIA,vs_te_rank_3,Tah'j Butler,LB,60.1,78.7,86.0,86.0,Elyiss Williams,5.0,-25.9,-7.3
